"GruppoA","GruppoB"
"1",1.6432,2.7524
"2",2.1166,1.805
"3",1.8967,2.2897
"4",1.8356,2.1052
"5",2.2942,2.472
"6",1.929,1.0867
"7",2.2429,3.4349
"8",1.7766,0.8157
"9",1.9221,1.7048
"10",1.9451,1.5156
"11",2.1556,2.0936
"12",2.265,2.9569
"13",2.1769,1.6887
"14",1.941,1.4679
"15",2.1979,1.8289
"16",1.9218,1.9493
"17",1.8282,2.2892
"18",2.422,2.4138
"19",2.1513,2.6556
"20",1.7899,2.0892
"21",2.427,2.8518
"22",1.6872,1.712
"23",2.0004,1.6486
"24",2.3271,1.8705
"25",1.7004,2.962
"26",2.1604,1.8919
"27",1.9629,1.4291
"28",2.6358,2.3924
"29",1.546,1.4244
"30",2.0766,2.119
