"old","new1","new2"
"1",676,732,731
"2",676,732,731
"3",680,734,730
"4",681,733,732
"5",682,736,733
"6",681,738,733
"7",686,738,734
"8",685,736,730
"9",689,737,732
"10",686,736,733
"11",686,738,732
"12",686,740,731
"13",688,741,731
"14",689,742,730
"15",687,749,730
"16",687,672,733
"17",686,674,731
"18",688,672,730
"19",685,673,731
"20",690,671,734
"21",693,671,732
"22",694,673,733
"23",691,672,732
"24",690,671,733
"25",690,674,732
"26",692,672,732
"27",694,673,732
"28",693,674,730
"29",690,676,731
"30",693,678,731
"31",690,679,735
"32",693,679,736
"33",693,675,737
"34",692,678,736
"35",693,678,737
"36",693,676,737
"37",691,676,738
"38",692,678,736
"39",692,676,739
"40",690,675,739
"41",690,683,736
"42",693,680,737
"43",719,680,739
"44",719,684,739
"45",718,684,739
"46",717,681,739
"47",716,680,737
"48",716,682,740
"49",716,680,740
"50",719,683,743
"51",718,684,744
"52",718,682,740
"53",716,684,743
"54",719,682,744
"55",717,684,744
"56",715,682,742
"57",719,684,744
"58",715,684,741
"59",719,680,744
"60",717,684,747
"61",719,686,745
"62",717,689,746
"63",717,688,748
"64",718,686,747
"65",718,685,749
"66",719,689,748
"67",715,685,745
"68",718,686,746
"69",716,689,748
"70",717,687,746
"71",717,687,748
"72",718,685,679
"73",715,687,681
"74",717,686,684
"75",715,686,687
"76",724,685,689
"77",721,687,686
"78",721,686,710
"79",720,688,711
"80",721,686,714
"81",724,687,711
"82",722,689,714
"83",724,686,713
"84",720,685,712
"85",720,685,714
"86",723,685,710
"87",724,688,710
"88",722,688,710
"89",720,685,712
"90",724,687,711
"91",728,687,710
"92",726,689,711
"93",726,688,711
"94",725,711,711
"95",725,710,711
"96",729,711,712
"97",699,713,710
"98",696,714,714
"99",697,710,711
"100",695,710,712
"101",697,713,714
"102",695,710,710
"103",699,710,711
"104",695,713,711
"105",695,713,711
"106",697,713,710
"107",696,714,712
"108",696,710,713
"109",699,714,714
"110",699,711,715
"111",696,711,719
"112",695,714,719
"113",699,713,718
"114",699,712,719
"115",698,714,719
"116",698,712,719
"117",697,710,715
"118",698,713,717
"119",696,710,718
"120",697,714,717
"121",699,714,719
"122",696,715,718
"123",695,715,716
"124",696,718,716
"125",699,717,715
"126",698,716,715
"127",699,719,716
"128",695,718,717
"129",697,719,715
"130",696,715,716
"131",699,715,718
"132",701,717,718
"133",700,717,719
"134",701,719,715
"135",704,718,717
"136",704,719,716
"137",700,716,716
"138",701,718,719
"139",704,719,715
"140",701,717,716
"141",703,720,718
"142",700,720,724
"143",703,724,721
"144",701,723,720
"145",700,721,723
"146",700,723,724
"147",702,724,722
"148",701,723,724
"149",702,722,724
"150",704,721,724
"151",701,722,722
"152",703,721,720
"153",701,728,720
"154",702,729,723
"155",702,725,721
"156",704,725,721
"157",700,729,721
"158",700,726,723
"159",704,725,723
"160",702,726,721
"161",700,726,721
"162",704,693,722
"163",704,694,724
"164",701,694,724
"165",704,692,724
"166",704,693,723
"167",704,690,723
"168",701,692,721
"169",700,690,723
"170",701,693,721
"171",702,692,723
"172",704,692,720
"173",704,690,722
"174",701,690,720
"175",701,693,721
"176",700,694,728
"177",704,694,729
"178",704,690,725
"179",702,694,725
"180",701,691,725
"181",703,691,725
"182",701,692,726
"183",701,693,725
"184",703,690,726
"185",702,691,727
"186",700,691,727
"187",707,694,725
"188",706,691,725
"189",707,690,726
"190",705,694,727
"191",708,693,727
"192",708,691,729
"193",707,691,727
"194",708,693,727
"195",707,699,727
"196",709,697,729
"197",708,696,729
"198",707,698,729
"199",709,696,729
"200",709,699,727
"201",706,699,729
"202",705,699,726
"203",706,697,692
"204",706,698,690
"205",709,696,694
"206",706,696,694
"207",707,695,690
"208",705,695,692
"209",709,698,694
"210",706,698,690
"211",705,699,695
"212",709,695,698
"213",709,696,699
"214",705,696,698
"215",705,697,698
"216",707,695,698
"217",706,696,698
"218",709,698,699
"219",709,695,697
"220",706,696,698
"221",706,697,698
"222",707,697,699
"223",707,697,699
"224",707,697,702
"225",707,698,704
"226",708,696,703
"227",705,697,703
"228",708,698,702
"229",708,699,702
"230",706,699,700
"231",706,695,704
"232",706,698,704
"233",707,702,703
"234",706,700,701
"235",708,701,703
"236",709,703,702
"237",708,702,701
"238",707,700,703
"239",713,700,704
"240",710,702,704
"241",711,704,704
"242",712,701,703
"243",710,700,704
"244",713,701,700
"245",714,704,703
"246",711,701,701
"247",710,702,703
"248",714,702,709
"249",711,700,705
"250",714,704,705
"251",714,701,707
"252",713,700,705
"253",713,702,705
"254",711,700,706
"255",710,704,705
"256",713,703,709
"257",713,700,706
"258",714,701,709
"259",711,702,708
"260",711,707,705
"261",712,709,705
"262",712,709,707
"263",711,707,708
"264",711,707,706
"265",711,706,706
"266",711,708,706
"267",711,709,707
"268",714,709,706
"269",713,709,705
"270",713,708,705
"271",711,709,708
"272",713,709,709
"273",713,706,708
"274",713,707,705
"275",710,708,705
"276",711,705,707
"277",712,707,708
"278",713,708,709
"279",712,706,708
"280",710,706,707
"281",711,705,709
"282",710,707,753
"283",711,707,750
"284",713,706,754
"285",711,708,752
"286",711,706,754
"287",711,707,758
"288",711,759,757
