"X";"Y";"Z";"W"
"1";"C";"S";"3";67.3636262541611
"2";"V";"L";"3";91.9674895901944
"3";"S";"A";"2";69.5525561112997
"4";"C";"L";"3";62.1671633352717
"5";"V";"A";"1";62.8292713451724
"6";"S";"S";"0";78.0231473179288
"7";"N";"L";"0";75.1902425061576
"8";"S";"A";"3";58.3741853493409
"9";"N";"L";"0";58.2672500739823
"10";"S";"S";"0";73.7989398733261
"11";"S";"A";"3";60.620274255931
"12";"N";"L";"2";74.0285707226046
"13";"V";"O";"4";75.5592639184782
"14";"C";"O";"4";58.3348777630801
"15";"V";"L";"0";54.6999662397492
"16";"S";"S";"4";70.9898462988698
"17";"V";"A";"3";35.415381519041
"18";"N";"A";"3";72.5118550761639
"19";"S";"S";"2";68.740736621617
"20";"V";"L";"3";66.2775496879411
"21";"V";"O";"0";65.3465638930294
"22";"C";"A";"0";52.7563552228405
"23";"S";"O";"4";55.6815339944367
"24";"V";"S";"4";65.4002856629698
"25";"V";"L";"1";95.9258755494911
"26";"S";"L";"2";94.2333713818525
"27";"S";"S";"0";68.7978424311212
"28";"S";"A";"2";72.5875217892273
"29";"N";"S";"4";81.4791220807459
"30";"V";"S";"0";75.9049996280411
"31";"V";"O";"1";77.9022338200939
"32";"C";"S";"0";46.8793378145431
"33";"S";"L";"4";68.4544098140893
"34";"C";"L";"4";75.7420006340731
"35";"N";"A";"3";67.6755853135583
"36";"N";"S";"4";81.7437461127363
"37";"S";"O";"3";56.8334866492771
"38";"N";"L";"3";70.6596373620813
"39";"N";"O";"1";69.2732924143287
"40";"C";"S";"0";71.9264050204625
"41";"S";"A";"1";82.6824333573602
"42";"N";"A";"2";70.5337080538567
"43";"C";"S";"0";72.3093811329276
"44";"N";"S";"2";62.4897250497831
"45";"S";"A";"1";33.8775213811631
"46";"S";"O";"0";53.5093799191515
"47";"N";"S";"2";74.3343427103841
"48";"V";"O";"0";70.5068119580714
"49";"C";"A";"4";79.6829638948667
"50";"C";"S";"1";35.6541383784125
