"X" "Y" "Z" "W"
"1" "C" "O" "4" 70.5792337642037
"2" "C" "O" "2" 75.4242324052438
"3" "C" "L" "1" 48.783279808395
"4" "N" "L" "3" 56.2728690611713
"5" "S" "A" "0" 80.8955285391693
"6" "C" "S" "3" 64.1495365756011
"7" "V" "O" "0" 75.0479674208693
"8" "V" "A" "2" 66.1844875950949
"9" "N" "A" "4" 53.1603228599478
"10" "V" "O" "2" 71.8445957821306
"11" "V" "L" "2" 67.7884036645663
"12" "N" "A" "2" 57.4315499826632
"13" "C" "O" "1" 84.6256866064372
"14" "S" "S" "0" 52.5540088313554
"15" "N" "O" "4" 78.8044776460119
"16" "S" "O" "3" 38.2055049362557
"17" "N" "L" "4" 46.462623343169
"18" "S" "S" "3" 49.4639923833199
"19" "N" "O" "2" 59.5385326952388
"20" "C" "A" "1" 64.4830783453181
"21" "V" "L" "4" 84.728926228511
"22" "N" "S" "4" 88.635430019586
"23" "N" "A" "2" 79.8131350431056
"24" "C" "L" "2" 50.2242150256148
"25" "C" "S" "1" 96.3682234705025
"26" "S" "O" "3" 75.6291717520519
"27" "V" "O" "3" 97.3324340697105
"28" "V" "O" "4" 86.6827176725241
"29" "V" "O" "3" 64.4684448822865
"30" "V" "A" "3" 31.3447117710294
"31" "S" "O" "4" 66.0460773610092
"32" "V" "A" "2" 55.8689036017707
"33" "N" "L" "0" 41.8373717029637
"34" "S" "S" "0" 106.639322525707
"35" "V" "L" "1" 63.3635308339986
"36" "N" "S" "2" 69.3199479461461
"37" "N" "O" "3" 54.854852706945
"38" "C" "A" "1" 60.6687211332547
"39" "V" "A" "1" 84.0676909692166
"40" "V" "O" "1" 64.1253306397013
"41" "S" "L" "0" 83.1521914236125
"42" "S" "A" "0" 68.4292872389478
"43" "C" "O" "2" 67.2878640974805
"44" "C" "A" "2" 91.4540292905808
"45" "V" "O" "2" 54.9898623323574
"46" "S" "O" "1" 57.6161334038546
"47" "C" "L" "2" 74.2285466249502
"48" "V" "O" "2" 62.5982081308663
"49" "V" "L" "4" 67.8656104024537
"50" "S" "L" "2" 71.458878674489
